,modern,original
400,Then he says I didn’t return some ships he loaned me.,"Then does he say he lent me Some shipping, unrestored."
401,"Sir, these accusations should be answered.","Sir, this should be answered."
402,"It has been done already, and the messenger is on his way.","Tis done already, and the messenger gone."
403,I answered that Lepidus had become too brutal and abused his position.,"I have told him, Lepidus was grown too cruel, That he his high authority abused And did deserve his change."
404,He’ll never agree to that.,He’ll never yield to that.
405,Then we won’t agree to his demands.,Nor must not then be yielded to in this.
406,"Greetings, Caesar, my lord!","Hail, Caesar, and my lord!"
407,"Greetings, dearest Caesar!","Hail, most dear Caesar!"
408,"Oh, to think you’ve been rejected!",That ever I should call thee castaway!
409,"You’ve never thought of me like that, and you have no reason to.","You have not called me so, nor have you cause."
410,Then why did you travel so quietly?,Why have you stol’n upon us thus?
411,You didn’t arrive like Caesar’s sister.,You come not Like Caesar’s sister.
412,"Antony’s wife should have an army to escort her, with neighing horses to announce her arrival long before she appears.",The wife of Antony Should have an army for an usher and The neighs of horse to tell of her approach Long ere she did appear.
413,The dust from your attending troops should have risen to heaven.,"Nay, the dust Should have ascended to the roof of heaven, Raised by your populous troops."
414,I would have met you by sea and again by land.,"We should have met you By sea and land, supplying every stage With an augmented greeting."
415,Mark Antony heard that you were preparing to wage war on him.,"My lord, Mark Antony, Hearing that you prepared for war, acquainted My grievèd ear withal, whereon I begged His pardon for return."
416,"Which he quickly allowed, given that you’re an obstacle to his lust.","Which soon he granted, Being an obstruct ’tween his lust and him."
417,Amen.,Amen.
418,Quiet!,Hush!
419,Here comes Antony.,Here comes Antony.
420,Have you seen my lord?,Saw you my lord?
421,"No, lady.","No, lady."
422,Wasn’t he here?,Was he not here?
423,"No, madam.","No, madam."
424,"He was in a good mood, and then suddenly he started thinking of Rome.","He was disposed to mirth, but on the sudden A Roman thought hath struck him.—Enobarbus!"
425,Madam?,Madam?
426,"Here, at your service.",Here at your service.
427,Here comes my lord.,My lord approaches.
428,"Your wife, Fulvia, mustered her army first.",Fulvia thy wife first came into the field.
429,Against my brother Lucius?,Against my brother Lucius?
430,Yes.,Ay.
431,"Don’t say that, my lord.","Do not say so, my lord."
432,Where do you think he is now?,Where is he now?
433,"He’s in Athens, my lord.","My lord, in Athens."
434,"No, he’s not.","No, my most wrongèd sister."
435,Cleopatra summoned him.,Cleopatra Hath nodded him to her.
436,"He’s given his empire to a whore, and now they’re gathering kings to wage a war.",He hath given his empire Up to a whore; who now are levying The kings o’ th’ earth for war.
437,"He’s recruited Bocchus, the King of Libya; Archelaus of Cappadocia; Philadelphos, King of Paphlagonia; the Thracian king, Adallas; King Manchus of Arabia; the King of Pont; Herod, of Judea; Mithridates, King of Comagen; Polemon and Amyntas, the kings of Mede and Lycaonia, and many more.","He hath assembled Bocchus, the King of Libya; Archelaus, Of Cappadocia; Philadelphos, King Of Paphlagonia; the Thracian king, Adallas; King Manchus of Arabia; King of Pont; Herod of Jewry; Mithridates, King Of Comagen; Polemon and Amyntas, The Kings of Mede and Lycaonia, With a more larger list of scepters."
438,I’m divided between two friends who are determined to kill each other.,"Ay me, most wretched, That have my heart parted betwixt two friends That does afflict each other!"
439,You’re welcome here.,Welcome hither.
440,I didn’t write about breaking the alliance with Antony until I saw you were being misled and realized how dangerous it would be to keep postponing preparations.,Your letters did withhold our breaking forth Till we perceived both how you were wrong led And we in negligent danger.
441,Cheer yourself.,Cheer your heart.
442,You will always be welcome to me.,"Best of comfort, And ever welcome to us."
443,"Welcome, lady.","Welcome, lady."
444,"Welcome, dear madam.","Welcome, dear madam."
445,Every heart in Rome loves and pities you.,Each heart in Rome does love and pity you.
446,"Only the adulterous and abominable Antony abandons you, giving his power to a whore who turns that power against us.","Only th’ adulterous Antony, most large In his abominations, turns you off And gives his potent regiment to a trull That noises it against us."
447,It’s undeniable.,Most certain.
448,"You are welcome here, sister.","Sister, welcome."
449,I beg you to continue to be patient.,Pray you Be ever known to patience.
450,My dearest sister!,My dear’st sister!
451,"But why, why, why?","But why, why, why?"
452,You opposed my taking part in the war.,Thou hast forspoke my being in these wars And sayst it is not fit.
453,Isn’t this war against me?,Is ’t not denounced against us?
454,Why shouldn’t I be there in person?,Why should not we Be there in person?
455,What do you mean?,What is ’t you say?
456,Let Rome fall!,Sink Rome!
457,May the tongues of our critics rot!,And their tongues rot That speak against us!
458,"I have responsibilities in this war, and as the absolute ruler of my kingdom I will carry out my duties as if I were a man.","A charge we bear i’ th’ war, And as the president of my kingdom will Appear there for a man."
459,Don’t argue against it.,Speak not against it.
460,I won’t stay behind.,I will not stay behind.
461,"No, I’ve had my say.","Nay, I have done."
462,Here comes the Emperor.,Here comes the Emperor.
463,"Isn’t it strange, Canidius, that he could cross the Ionian Sea so quickly from Tarentum and Brundusium and take Toryne?—Have you heard about this, sweet?","Is it not strange, Canidius, That from Tarentum and Brundusium He could so quickly cut the Ionian sea And take in Toryne?—You have heard on ’t, sweet?"
464,No one admires speed more than the lazy.,Celerity is never more admired Than by the negligent.
465,What else?,"By sea, what else?"
466,"Why do you want to do that, my lord?",Why will My lord do so?
467,Because he’s daring us to do it.,For that he dares us to ’t.
468,So you’ve dared him to single combat.,So hath my lord dared him to single fight.
469,"Yes, and you dared Caesar to fight the battle at Pharsalia, where he fought against Pompey.","Ay, and to wage this battle at Pharsalia, Where Caesar fought with Pompey."
470,"But Caesar ignores offers that don’t give him an advantage, and so should you.","But these offers, Which serve not for his vantage, he shakes off, And so should you."
471,His ships are maneuverable.,In Caesar’s fleet Are those that often have ’gainst Pompey fought.
472,Yours are slow and awkward.,"Their ships are yare, yours, heavy."
473,Refusing to fight him at sea won’t disgrace you.,"No disgrace Shall fall you for refusing him at sea, Being prepared for land."
474,I’ll fight at sea.,I’ll fight at sea.
475,"Even if we fail at that, we can still fight him on land.","But if we fail, We then can do ’t at land."
476,What’s your business?,Thy business?
477,"The news is true, my lord.","The news is true, my lord."
478,He has captured Toryne.,He is descried.
479,"Canidius, take our nineteen","Canidius, Our nineteen legions thou shalt hold by land, And our twelve thousand horse."
480,"What’s the news, brave soldier?","How now, worthy soldier?"
481,"Oh, don’t fight by sea, noble Emperor!","O noble Emperor, do not fight by sea!"
482,Don’t trust rotten planks.,Trust not to rotten planks.
483,Don’t you trust my sword and these wounds?,Do you misdoubt This sword and these my wounds?
484,Let the Egyptians and Phoenicians go swimming.,Let th’ Egyptians And the Phoenicians go a-ducking.
485,We are used to winning by standing on the earth and fighting toe to toe.,We Have used to conquer standing on the earth And fighting foot to foot.
486,"Well, well, let’s go.","Well, well, away."
487,"By Hercules, I think I’m right.","By Hercules, I think I am i’ th’ right."
488,"Soldier, you are.","Soldier, thou art; but his whole action grows Not in the power on ’t."
